# Je drei Spalten beschreiben ein L: Temperatur, Wert, Fehler
# L:  16 32 64 128 256
0.958 None 0   None 0   None 0   None 0   1.23237147044 0
0.96 None 0   None 0   None 0   1.18530576131 0   None 0
0.964 None 0   None 0   None 0   None 0   1.0000051836 0
0.97 None 0   None 0   None 0   1.27957890584 0   1.03697566808 0
0.976 None 0   None 0   None 0   None 0   0.973098091236 0
0.98 None 0   None 0   1.13133600456 0   1.22567519911 0   None 0
0.982 None 0   None 0   None 0   None 0   0.737405255307 0
0.988 None 0   None 0   None 0   None 0   0.834971309074 0
0.99 None 0   1.65621954921 0   None 0   1.1650040344 0   None 0
0.994 None 0   None 0   None 0   None 0   0.855208588133 0
1.0 1.16174780358 0   None 0   None 0   1.18164214473 0   0.845197986975 0
1.006 None 0   None 0   None 0   None 0   1.13129145821 0
1.01 None 0   None 0   0.9830723732 0   1.04714459689 0   None 0
1.012 None 0   None 0   None 0   None 0   0.966359756069 0
1.018 None 0   None 0   None 0   None 0   1.03707840471 0
1.02 None 0   None 0   None 0   1.21205966499 0   None 0
1.024 None 0   None 0   None 0   None 0   0.959550247719 0
1.03 None 0   None 0   None 0   1.12123335335 0   0.966283151433 0
1.036 None 0   None 0   None 0   None 0   0.98317671825 0
1.04 None 0   None 0   1.00677637214 0   1.20210476536 0   None 0
1.042 None 0   None 0   None 0   None 0   0.912435071588 0
1.048 None 0   None 0   None 0   None 0   0.872057560386 0
1.05 None 0   None 0   None 0   1.2222928333 0   None 0
1.054 None 0   None 0   None 0   None 0   0.855251637635 0
1.06 None 0   None 0   None 0   1.13480859124 0   1.0875565473 0
1.066 None 0   None 0   None 0   None 0   0.956226891971 0
1.07 None 0   None 0   0.659936640617 0   1.40056324848 0   None 0
1.072 None 0   None 0   None 0   None 0   0.885520482099 0
1.078 None 0   None 0   None 0   None 0   0.983226593533 0
1.08 None 0   1.48162037545 0   None 0   1.24917880829 0   None 0
1.084 None 0   None 0   None 0   None 0   1.30294869763 0
1.09 None 0   None 0   None 0   1.16502281287 0   1.53877497249 0
1.096 None 0   None 0   None 0   None 0   1.73067814899 0
1.1 None 0   None 0   0.764368569434 0   1.1517367937 0   None 0
1.102 None 0   None 0   None 0   None 0   1.20538926837 0
1.108 None 0   None 0   None 0   None 0   1.26263005161 0
1.11 None 0   None 0   None 0   1.09099482376 0   None 0
1.114 None 0   None 0   None 0   None 0   1.22220682145 0
1.12 None 0   None 0   None 0   0.915849239834 0   1.22233194836 0
1.126 None 0   None 0   None 0   None 0   1.05391475286 0
1.13 None 0   None 0   0.882248768446 0   1.0537510341 0   None 0
1.132 None 0   None 0   None 0   None 0   0.824827571431 0
1.138 None 0   None 0   None 0   None 0   0.851811288596 0
1.14 None 0   None 0   None 0   0.76423315947 0   None 0
1.144 None 0   None 0   None 0   None 0   0.902372235253 0
1.15 1.32713675116 0   None 0   None 0   0.727257593269 0   0.744125772951 0
1.156 None 0   None 0   None 0   None 0   0.6464984605 0
1.16 None 0   None 0   0.822037982642 0   1.03715014607 0   None 0
1.162 None 0   None 0   None 0   None 0   0.639756573561 0
1.168 None 0   None 0   None 0   None 0   0.78117920315 0
1.17 None 0   1.6179451925 0   None 0   0.983363115689 0   None 0
1.174 None 0   None 0   None 0   None 0   0.868613786642 0
1.18 None 0   None 0   None 0   1.14148548167 0   0.697034699649 0
1.186 None 0   None 0   None 0   None 0   0.841731802502 0
1.19 None 0   None 0   0.764012538837 0   0.952829971286 0   None 0
1.192 None 0   None 0   None 0   None 0   0.673375748388 0
1.198 None 0   None 0   None 0   None 0   0.87198547587 0
1.2 None 0   None 0   None 0   1.09758345583 0   None 0
1.204 None 0   None 0   None 0   None 0   0.936068744813 0
1.21 None 0   None 0   None 0   0.808258881746 0   0.986555289654 0
1.216 None 0   None 0   None 0   None 0   0.814886616472 0
1.22 None 0   None 0   0.868552523979 0   0.767574313826 0   None 0
1.222 None 0   None 0   None 0   None 0   0.996594974155 0
1.228 None 0   None 0   None 0   None 0   1.0167798789 0
1.23 None 0   None 0   None 0   0.7743564938 0   None 0
1.234 None 0   None 0   None 0   None 0   1.12460720542 0
1.24 None 0   None 0   None 0   0.872014416146 0   0.91257141859 0
1.246 None 0   None 0   None 0   None 0   0.845291179438 0
1.25 None 0   None 0   0.88218619287 0   1.10448141622 0   None 0
1.252 None 0   None 0   None 0   None 0   0.814722079168 0
1.258 None 0   None 0   None 0   None 0   0.65329670565 0
1.26 None 0   1.18148121096 0   None 0   0.959660279444 0   None 0
1.264 None 0   None 0   None 0   None 0   0.754202719726 0
1.27 None 0   None 0   None 0   0.760696561744 0   0.831709667912 0
1.276 None 0   None 0   None 0   None 0   0.727283642293 0
1.28 None 0   None 0   0.716698337247 0   0.845126829123 0   None 0
1.282 None 0   None 0   None 0   None 0   0.727249993078 0
1.288 None 0   None 0   None 0   None 0   0.959634327584 0
1.29 None 0   None 0   None 0   1.02360793867 0   None 0
