0.000 1.0 0.0
0.030 0.99977345 2.76692518872e-06
0.050 0.99936846 7.768003862e-06
0.080 0.99862953 2.71973949304e-05
0.100 0.99953823 7.16607282338e-05
0.120 1.00292629 0.000135007221507
0.150 1.01244755 0.000239478182461
0.200 1.03199633 0.00031212938569
0.250 1.05002143 0.000403008227275
0.300 1.06473794 0.000432946741718
0.400 1.08510745 0.000548781408828
0.500 1.0993978 0.000619742074738
0.600 1.10801899 0.000641798168819
0.700 1.11370055 0.000672667982496
0.800 1.11714393 0.000735637430703
0.900 1.11921046 0.000693335342013
1.000 1.12022457 0.000749696065783
1.100 1.12152265 0.000811270419697
1.200 1.12264972 0.000849354527754
