# Je drei Spalten beschreiben ein Sigma: Temperatur, Wert, Fehler
# Sigma:  0.0 0.03 0.05 0.08 0.1 0.12 0.15 0.2 0.25 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.0 1.1 1.2
0.1 1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0  
0.6 0.999996721616 2.6170703129e-08   0.999996726008 2.74820692961e-08   0.999996688188 2.53512317605e-08   0.999995572132 4.96695395e-08   0.99998582848 1.99768898346e-07   0.999946009142 5.72419353766e-07   0.99980174377 1.49736140544e-06   0.999475835712 2.47301974253e-06   0.99925163879 2.61673254361e-06   0.999113488672 2.87704604937e-06   0.998890807616 3.29984820532e-06   0.99869111646 3.89502554801e-06   0.998520826578 4.83071408923e-06   0.998381838412 5.09600236437e-06   0.998290621014 5.72596725002e-06   0.998229544772 5.76786417275e-06   0.998177642932 4.91318632405e-06   0.9981351493 5.18133927849e-06   0.99811359342 5.74293881049e-06  
0.65 None None   None None   None None   None None   None None   None None   None None   0.999122417668 3.38787401956e-06   0.998732493096 4.61900483665e-06   0.998486277166 3.82462807069e-06   0.998096609472 4.86177889513e-06   0.997754733112 6.86233089551e-06   0.99747004099 7.13940160492e-06   0.997244515956 7.38359305869e-06   0.997103634578 7.44524829064e-06   0.997003233632 8.01629744042e-06   0.996919260194 7.97697861289e-06   0.996856696526 7.98226447333e-06   0.996821690696 8.68471950167e-06  
0.66 None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None  
0.7 0.999977807224 7.18944697021e-08   0.999977898968 6.79901696458e-08   0.999977606168 7.31821249602e-08   0.999973150972 1.36735911495e-07   0.999940838296 4.43109018167e-07   0.99982717676 1.0678877159e-06   0.999450293358 2.87188725868e-06   0.998598377548 4.59556512004e-06   0.997959673286 5.86910996392e-06   0.997543186216 5.56489579277e-06   0.996887867682 7.01144529357e-06   0.996335462264 9.74528610484e-06   0.995877820096 1.04438729648e-05   0.995520883046 1.10803731802e-05   0.99529684242 1.1538745287e-05   0.99514327134 1.2193688458e-05   0.995016579848 1.0839841599e-05   0.994920536256 1.22214892009e-05   0.994868771978 1.13861844865e-05  
0.74 None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None  
0.75 None None   None None   None None   None None   None None   None None   None None   0.997849823238 6.29790923813e-06   0.996846901312 8.04623988353e-06   0.996178982842 8.48957659232e-06   0.9951328629 1.11049846664e-05   0.994250897526 1.42130886486e-05   0.99354375124 1.57214771739e-05   0.9929952059 1.77930024588e-05   0.992653173316 1.73564120989e-05   0.99242165156 1.77564610496e-05   0.992222548992 1.72055896882e-05   0.992093551886 1.89365329949e-05   0.992011892754 1.94860219859e-05  
0.8 0.999906739778 1.45228963918e-07   0.99990634816 1.39653766809e-07   0.99990572889 1.46296326198e-07   0.999892617306 2.07455939686e-07   0.999807475774 8.29799036114e-07   0.99953967498 2.12290385187e-06   0.99870554922 4.83482565763e-06   0.99681542353 8.12501894512e-06   0.995297044482 1.13424814379e-05   0.99426014109 1.06167404052e-05   0.992634890502 1.50652149634e-05   0.991286221134 1.90909067417e-05   0.990202968506 2.09736445265e-05   0.989387685158 2.41534709453e-05   0.988880078098 2.37219066145e-05   0.988526175756 2.91877010404e-05   0.98822968859 2.26741085742e-05   0.988043418304 2.77604195321e-05   0.987909770512 2.89397312763e-05  
0.82 None None   None None   None None   None None   None None   None None   None None   0.996304323118 1.00204694006e-05   0.994528647228 1.16460312893e-05   0.993305509248 1.28344304619e-05   0.991389975238 1.65785071064e-05   0.989792686078 2.12943340652e-05   0.98851767857 2.60752663504e-05   0.987560810326 2.75511094566e-05   0.986955965602 2.60137935836e-05   0.986552864266 3.15406207944e-05   0.986210096148 2.83540280579e-05   0.98598460918 3.06878350586e-05   0.985830648656 3.0760296978e-05  
0.83 0.999865604756 1.77043329407e-07   0.999864749286 1.97836355235e-07   0.999863609096 1.84905507098e-07   0.999846968004 2.91920684503e-07   0.999737776376 1.04339142209e-06   0.999400878164 2.34359591539e-06   0.99836953665 5.80995287436e-06   0.996026288202 9.39575837685e-06   0.994107683346 1.29741346447e-05   0.992782331044 1.34137591755e-05   0.990700369748 1.76780999096e-05   0.988964937428 2.30601987488e-05   0.987584516966 2.8173999902e-05   0.986538677852 2.99212094658e-05   0.985905102978 2.95935162217e-05   0.985457467258 3.12752902044e-05   0.985080435534 2.85012479475e-05   0.984841125264 3.12176966145e-05   0.984683068454 3.56182820708e-05  
0.84 None None   None None   None None   None None   None None   None None   None None   0.99573063404 9.78522864933e-06   0.993663298352 1.27863618956e-05   0.992222947452 1.37909087205e-05   0.98996255122 1.87355783245e-05   0.988085854314 2.4421033559e-05   0.986593242974 2.74205624531e-05   0.985462096598 3.07792761749e-05   0.984772250016 2.96644593332e-05   0.984279787986 3.39315820764e-05   0.983886294716 3.0325567568e-05   0.983629063352 3.67899212048e-05   0.983449225478 3.69601146845e-05  
