1 -0.806885 -1.482178
2 -0.878662 -1.609619
3 -0.960693 -1.363281
4 -0.980957 -1.328125
5 -1.025391 -1.318604
6 -1.061523 -1.294189
7 -1.074951 -1.286133
8 -1.099609 -1.286621
9 -1.153076 -1.286865
10 -1.123047 -1.249512
11 -1.143799 -1.234863
12 -1.121094 -1.253662
13 -1.115479 -1.270996
14 -1.159668 -1.283691
15 -1.163086 -1.262451
16 -1.148926 -1.259033
17 -1.161621 -1.248291
18 -1.167969 -1.237549
19 -1.197998 -1.251953
20 -1.124268 -1.247559
21 -1.185303 -1.228271
22 -1.154541 -1.236816
23 -1.168457 -1.26123
24 -1.15918 -1.24707
25 -1.153809 -1.233154
26 -1.169434 -1.251953
27 -1.180908 -1.255615
28 -1.19458 -1.261475
29 -1.190918 -1.245361
30 -1.179932 -1.23584
31 -1.181885 -1.242188
32 -1.173584 -1.265625
33 -1.167236 -1.220215
34 -1.188965 -1.238037
35 -1.165527 -1.206055
36 -1.181885 -1.223145
37 -1.166748 -1.234375
38 -1.223145 -1.250977
39 -1.189209 -1.236572
40 -1.187744 -1.272461
41 -1.206787 -1.221436
42 -1.242188 -1.219482
43 -1.179932 -1.23584
44 -1.188232 -1.227295
45 -1.212158 -1.226074
46 -1.209229 -1.184082
47 -1.220459 -1.191162
48 -1.203369 -1.223145
49 -1.214111 -1.212158
50 -1.219727 -1.291748
51 -1.215576 -1.236084
52 -1.245361 -1.219971
53 -1.179688 -1.241455
54 -1.209229 -1.240723
55 -1.21582 -1.25293
56 -1.219482 -1.231201
57 -1.221924 -1.228027
58 -1.22876 -1.24292
59 -1.220703 -1.227051
60 -1.209229 -1.248535
61 -1.232422 -1.251709
62 -1.229004 -1.222168
63 -1.234863 -1.244141
64 -1.233643 -1.243896
65 -1.213623 -1.252441
66 -1.233643 -1.232666
67 -1.209473 -1.247803
68 -1.196777 -1.241699
69 -1.202393 -1.23291
70 -1.20752 -1.243652
71 -1.186523 -1.2229
72 -1.196777 -1.231445
73 -1.186523 -1.285645
74 -1.208252 -1.222656
75 -1.209229 -1.219727
76 -1.189941 -1.219971
77 -1.209717 -1.216553
78 -1.188721 -1.229736
79 -1.170166 -1.210693
80 -1.161377 -1.243652
81 -1.176514 -1.26709
82 -1.185059 -1.19873
83 -1.226562 -1.274414
84 -1.229736 -1.252441
85 -1.229004 -1.249512
86 -1.209473 -1.280518
87 -1.206787 -1.246094
88 -1.189453 -1.245605
89 -1.217529 -1.266113
90 -1.187988 -1.243652
91 -1.22168 -1.235596
92 -1.226318 -1.223389
93 -1.220459 -1.191162
94 -1.223389 -1.23999
95 -1.229492 -1.235352
96 -1.238037 -1.216797
97 -1.220215 -1.246582
98 -1.223145 -1.24707
99 -1.209717 -1.23999
100 -1.181641 -1.226074
101 -1.250977 -1.200439
102 -1.21582 -1.235352
103 -1.220947 -1.23877
104 -1.235107 -1.201904
105 -1.219727 -1.23584
106 -1.279053 -1.24585
107 -1.204102 -1.219238
108 -1.192627 -1.208496
109 -1.193848 -1.199219
110 -1.179199 -1.2229
111 -1.205566 -1.227295
112 -1.212646 -1.230225
113 -1.21875 -1.268311
114 -1.250244 -1.262695
115 -1.210449 -1.224121
116 -1.209229 -1.226318
117 -1.224121 -1.22583
118 -1.198975 -1.284424
119 -1.214844 -1.210449
120 -1.203369 -1.228027
121 -1.223877 -1.226562
122 -1.213135 -1.242676
123 -1.229248 -1.23999
124 -1.228027 -1.224121
125 -1.249756 -1.224121
126 -1.236084 -1.235352
127 -1.218018 -1.245361
128 -1.218994 -1.231201
129 -1.212891 -1.231934
130 -1.236572 -1.214111
131 -1.236328 -1.197266
132 -1.258301 -1.211182
133 -1.275879 -1.218018
134 -1.266357 -1.209473
135 -1.229004 -1.204102
136 -1.213623 -1.267822
137 -1.20752 -1.204346
138 -1.169922 -1.202148
139 -1.206299 -1.226807
140 -1.198242 -1.217285
141 -1.192627 -1.201904
142 -1.171631 -1.209961
143 -1.22876 -1.21167
144 -1.234863 -1.209961
145 -1.217529 -1.209229
146 -1.205811 -1.223145
147 -1.208496 -1.282227
148 -1.196777 -1.230225
149 -1.186768 -1.214844
150 -1.181152 -1.208984
151 -1.199707 -1.199707
152 -1.206055 -1.188477
153 -1.229736 -1.191162
154 -1.241211 -1.171631
155 -1.250244 -1.21582
156 -1.2146 -1.222168
157 -1.223877 -1.231445
158 -1.220459 -1.229004
159 -1.226562 -1.235596
160 -1.225586 -1.258301
161 -1.191895 -1.23999
162 -1.209717 -1.258057
163 -1.266846 -1.260742
164 -1.218506 -1.259766
165 -1.218262 -1.240479
166 -1.230225 -1.250244
167 -1.219727 -1.228027
168 -1.234619 -1.215576
169 -1.238525 -1.216797
170 -1.258545 -1.210449
171 -1.22876 -1.265381
172 -1.220947 -1.227783
173 -1.250732 -1.228271
174 -1.210693 -1.217285
175 -1.240234 -1.164307
176 -1.241943 -1.240234
177 -1.235596 -1.23877
178 -1.226562 -1.235596
179 -1.247803 -1.249023
180 -1.229492 -1.222168
181 -1.226074 -1.21875
182 -1.24707 -1.227539
183 -1.269531 -1.216309
184 -1.243652 -1.215332
185 -1.280029 -1.222412
186 -1.249756 -1.239746
187 -1.234619 -1.179688
188 -1.213867 -1.209473
189 -1.240967 -1.282471
190 -1.256592 -1.239258
191 -1.24707 -1.218994
192 -1.247803 -1.232422
193 -1.245361 -1.227783
194 -1.258789 -1.199951
195 -1.254395 -1.224365
196 -1.227051 -1.212158
197 -1.240967 -1.213135
198 -1.217773 -1.239746
199 -1.231201 -1.217773
200 -1.231445 -1.219482
