# Je drei Spalten beschreiben ein L: Temperatur, Wert, Fehler
# L:  16 32 64 128
1.53 None None   0.215452695874 0.000342089214778   0.215456169538 0.000437506376916   None None  
1.535 None None   None None   None None   None None  
1.54 None None   None None   None None   0.221988970312 0.000428934946398  
1.555 None None   None None   None None   None None  
1.56 None None   None None   0.234269867254 0.000528188599624   0.23469866385 0.000469084288616  
1.57 None None   None None   None None   None None  
1.58 None None   None None   None None   0.248964339739 0.000469649526893  
1.585 None None   None None   None None   None None  
1.59 None None   None None   0.25492685326 0.000478634759481   None None  
1.6 0.2625766624 0.000414914663641   None None   None None   0.262371361197 0.000563259989874  
1.605 None None   None None   None None   None None  
1.615 None None   None None   None None   None None  
1.62 None None   0.276519690227 0.000426898087371   0.276652784296 0.000589740637949   0.276684707134 0.000504137152546  
1.63 None None   None None   None None   None None  
1.64 None None   None None   None None   0.290966395801 0.000537144112739  
1.645 None None   None None   None None   None None  
1.65 None None   None None   0.300087924914 0.000598763682056   None None  
1.66 None None   None None   None None   0.307939634138 0.000536002985632  
1.675 None None   None None   None None   None None  
1.68 None None   None None   0.324199478336 0.000757912938536   0.323626045291 0.000653145025339  
1.69 None None   None None   None None   None None  
1.7 None None   None None   None None   0.342793695645 0.000705664502592  
1.705 None None   None None   None None   None None  
1.71 None None   0.350794645244 0.000410284043291   0.351169708985 0.000650345555783   None None  
1.72 None None   None None   None None   0.358714075567 0.000809263005999  
1.735 None None   None None   None None   None None  
1.74 None None   None None   0.376468051522 0.000603051654739   0.377899662988 0.000909117930783  
1.745 None None   None None   None None   None None  
1.75 0.387588885286 0.000605637580773   None None   None None   None None  
1.76 None None   None None   None None   0.396943379666 0.00090547747835  
1.765 None None   None None   None None   None None  
1.77 None None   None None   0.40773361936 0.000727723838273   None None  
1.78 None None   None None   None None   0.418278112376 0.000774947351795  
1.795 None None   None None   None None   None None  
1.8 None None   0.439688719756 0.000627238993772   0.438204860582 0.00082612998403   0.439267495303 0.000757405217113  
1.81 None None   None None   None None   None None  
1.815 None None   None None   None None   None None  
1.82 None None   None None   None None   0.461621426202 0.000752748808745  
1.825 None None   None None   None None   None None  
1.83 None None   None None   0.472852648729 0.000907720076175   None None  
1.84 None None   None None   None None   0.485951438662 0.00107249384249  
1.85 None None   None None   None None   None None  
