# Je drei Spalten beschreiben ein L: Temperatur, Wert, Fehler
# L:  16 32 64 128
1.525 None None   None None   None None   None None  
1.53 None None   0.999904462085 1.7692434875e-07   0.999976039419 4.76237809216e-08   None None  
1.535 None None   None None   None None   None None  
1.54 None None   None None   None None   0.99999365955 1.34863206092e-08  
1.555 None None   None None   None None   None None  
1.56 None None   None None   0.99997187036 6.77065413555e-08   0.999992933569 1.58230531719e-08  
1.57 None None   None None   None None   None None  
1.58 None None   None None   None None   0.999992107153 1.6403368181e-08  
1.585 None None   None None   None None   None None  
1.59 None None   None None   0.999966868382 5.93643220622e-08   None None  
1.6 0.999452384979 1.26095813983e-06   None None   None None   0.999991224446 1.77502125908e-08  
1.605 None None   None None   None None   None None  
1.615 None None   None None   None None   None None  
1.62 None None   0.999844692036 2.69276506245e-07   0.999960971274 9.7991736692e-08   0.999990209397 1.91991695533e-08  
1.63 None None   None None   None None   None None  
1.64 None None   None None   None None   0.999989132632 2.08067866517e-08  
1.645 None None   None None   None None   None None  
1.65 None None   None None   0.999953989378 8.92444975894e-08   None None  
1.66 None None   None None   None None   0.999987817321 2.15621028414e-08  
1.675 None None   None None   None None   None None  
1.68 None None   None None   0.999945705901 1.28543978254e-07   0.999986417794 3.12636924712e-08  
1.69 None None   None None   None None   None None  
1.7 None None   None None   None None   0.999984726637 2.88155759507e-08  
1.705 None None   None None   None None   None None  
1.71 None None   0.999743778639 3.51950733506e-07   0.999935587186 1.30350063505e-07   None None  
1.72 None None   None None   None None   0.999982964113 3.63945368217e-08  
1.735 None None   None None   None None   None None  
1.74 None None   None None   0.999924104034 1.48279185645e-07   0.999980898699 4.26917762559e-08  
1.745 None None   None None   None None   None None  
1.75 0.998752262545 3.08412189215e-06   None None   None None   None None  
1.76 None None   None None   None None   0.999978543507 4.70659328245e-08  
1.765 None None   None None   None None   None None  
1.77 None None   None None   0.999908982301 1.78749623928e-07   None None  
1.78 None None   None None   None None   0.999975792423 5.11743495253e-08  
1.795 None None   None None   None None   None None  
1.8 None None   0.999568917056 7.19646567149e-07   0.999891418717 2.31272438774e-07   0.999972669236 5.79101336596e-08  
1.81 None None   None None   None None   None None  
1.815 None None   None None   None None   None None  
1.82 None None   None None   None None   0.999969123843 5.68859579442e-08  
1.825 None None   None None   None None   None None  
1.83 None None   None None   0.999868771051 2.81427368363e-07   None None  
1.84 None None   None None   None None   0.999964915259 6.9876519116e-08  
1.85 None None   None None   None None   None None  
1.855 None None   None None   None None   None None  
1.86 None None   None None   0.999841200495 3.70037488199e-07   0.999960211954 8.15119592219e-08  
1.87 None None   None None   None None   None None  
1.88 None None   None None   None None   0.999954635541 9.32148943764e-08  
1.885 None None   None None   None None   None None  
1.89 None None   0.99923742258 1.48865968958e-06   0.999805831418 4.2118072578e-07   None None  
1.9 0.99689853035 8.64073063046e-06   None None   None None   0.99994798943 9.64594242029e-08  
1.915 None None   None None   None None   None None  
1.92 None None   None None   0.999760797985 4.92245763404e-07   0.999939829526 1.24754967575e-07  
1.93 None None   None None   None None   None None  
1.94 None None   None None   None None   0.99993042196 1.36309450818e-07  
1.945 None None   None None   None None   None None  
1.95 None None   None None   0.999701531498 6.99084058906e-07   None None  
1.955 None None   None None   None None   None None  
1.96 None None   None None   None None   0.999918902648 1.66061891287e-07  
1.975 None None   None None   None None   None None  
1.98 None None   0.998522297363 3.41428910225e-06   0.999621838133 8.65997660005e-07   0.999904467589 1.62893803063e-07  
1.99 None None   None None   None None   None None  
2.0 0.993662176782 1.99144087384e-05   0.998250363153 3.8111900021e-06   None None   0.999887122095 2.52633782277e-07  
2.005 None None   None None   None None   None None  
2.01 None None   None None   0.999510138916 1.08353668794e-06   None None  
2.02 0.992530081102 2.19233896463e-05   0.99792404081 4.49253091121e-06   None None   0.999864902264 2.75381848142e-07  
2.025 None None   None None   None None   None None  
2.035 None None   None None   None None   None None  
2.04 0.991271993608 2.4088016516e-05   0.997506185475 5.50647090162e-06   0.999350237282 1.53567653799e-06   0.999836111421 3.4224367903e-07  
2.05 None None   None None   None None   None None  
2.06 0.989603938839 2.72878645169e-05   0.996957154241 7.24887156461e-06   None None   0.999798390938 3.67756694489e-07  
2.065 None None   None None   None None   None None  
2.07 None None   None None   0.999110087677 1.99370275428e-06   None None  
2.08 0.987514883014 3.62552509212e-05   0.996250464942 9.14283801229e-06   None None   0.999748458254 3.74647886895e-07  
2.09 None None   None None   None None   0.999716234841 6.17835299768e-07  
2.095 None None   None None   None None   None None  
2.1 0.984931154461 4.14366579855e-05   0.995293466018 1.14223080593e-05   0.99874198959 3.79483342466e-06   0.999678609247 6.9416285223e-07  
2.11 None None   None None   None None   0.99963381408 7.531394488e-07  
2.12 0.981799939283 4.11190954315e-05   0.993970666029 1.62189534914e-05   None None   0.999579116368 9.7291946112e-07  
2.13 None None   None None   0.998099739349 5.16510948372e-06   0.999508407746 1.06594754754e-06  
2.14 0.977902406819 6.20228668114e-05   0.992060089166 2.13486644878e-05   None None   0.999427738238 1.5819843208e-06  
2.15 None None   None None   None None   0.999321279041 1.66455278634e-06  
2.16 0.972891536184 6.47264884593e-05   0.989242325393 2.87437743036e-05   0.996878767511 9.51028516477e-06   0.999185285139 1.83700636322e-06  
2.165 None None   None None   None None   None None  
2.17 None None   None None   None None   0.999010823632 2.1212797107e-06  
2.18 0.966633264496 8.68182234206e-05   0.985001238681 4.28269121939e-05   None None   0.998771602677 3.61009942545e-06  
2.19 None None   None None   0.994165929604 2.27740772697e-05   0.998435225311 4.6109786527e-06  
2.2 0.959104049089 8.8072790153e-05   0.97863986362 5.31893841916e-05   None None   0.997944939967 5.81625053185e-06  
2.21 None None   None None   None None   0.997213741596 8.31311354892e-06  
2.22 0.94949610004 0.000107144409343   0.968587719389 9.12447397231e-05   0.986758614814 4.57213717776e-05   0.996009994526 1.41853513979e-05  
2.23 None None   None None   None None   0.993906813134 2.17149513937e-05  
2.235 None None   None None   None None   None None  
2.24 0.938279181001 0.00012824003309   0.953139586364 0.000119616737667   None None   0.989676394435 3.50175123381e-05  
2.25 None None   None None   0.960536374392 0.000124278669419   0.980633758605 6.77775557888e-05  
2.26 0.924131182696 0.000161573749875   0.93027245084 0.000133824747327   None None   0.959422411751 0.000117190415415  
2.27 None None   None None   None None   0.91076889369 0.000237033601597  
2.28 0.908034036093 0.000216582639929   0.897093428136 0.000170486684261   0.874172155316 0.000301612017497   0.816174526001 0.000446891680972  
2.29 None None   None None   None None   0.675145087506 0.000716136007128  
2.3 0.888943903491 0.000170351699244   0.852211169191 0.000228456029127   0.757304842389 0.000482405827407   0.516418626042 0.000933743065501  
2.31 None None   None None   None None   0.379850680942 0.00129128130776  
2.32 0.866716702388 0.000201580887429   0.795160353695 0.000350970509038   None None   0.274071620166 0.00161615872211  
2.33 None None   None None   None None   0.20096600812 0.00206334564109  
2.34 0.842025510376 0.000270379438412   0.727502445032 0.000442806014897   None None   0.154695297988 0.0021683847085  
2.35 None None   None None   0.38740916152 0.00130067965401   0.122937809337 0.00237721292087  
2.36 0.813844610349 0.000297243493207   0.651530826517 0.000519344015487   None None   0.0964097903262 0.00290356194866  
2.37 None None   None None   None None   0.0801726498407 0.00269306632358  
2.38 0.784411368851 0.00031475219562   0.576135204708 0.000596121372934   None None   0.0651672355828 0.00250979084297  
2.39 None None   None None   None None   0.0522527863191 0.00355033951855  
2.4 0.751849856568 0.000446786450448   0.503120792418 0.000796406121899   0.181532218103 0.00200510227022   0.0519153027396 0.00258600252515  
2.41 None None   None None   None None   0.0427567073233 0.00265031874912  
2.42 None None   None None   None None   0.0411191307011 0.00317971767924  
2.43 None None   None None   None None   0.0297949530763 0.00313943447788  
2.44 None None   None None   None None   0.0297435375984 0.00386894077039  
2.45 None None   None None   0.101220878006 0.00286397094243   None None  
2.47 None None   None None   None None   0.0136899122496 0.00323876018095  
2.475 None None   None None   None None   None None  
