# Je vier Spalten beschreiben ein Sigma: g, xi, gFehler, xiFehler
# Sigma:  0.0 0.5 1.0
None 1.0 None 0.0  None 1.0 None 0.0  15.3543872097 1.0 2.13428542101 0.0  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 1.0 None 0.0  None 1.0 None 0.0  14.7359613436 1.0 2.12978998934 0.0  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 0.999999999855 None 1.86002194426e-10  None 0.999999994904 None 1.24612362786e-09  15.2276144441 0.99999999089 1.64289833179 2.53364111954e-09  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 0.999999984486 None 1.92962644733e-09  39.7487576868 0.999999833616 9.75404293345 1.17423789399e-08  14.7716307865 0.999999685468 1.55211660171 2.277832419e-08  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
394.148153696 0.999999648779 8.86622581015 9.34455254631e-09  29.4302589168 0.999998290957 3.03581270415 5.16552671504e-08  14.1533642493 0.999997069556 1.96374329414 1.03325236363e-07  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
137.337633827 0.999997278273 0.733861477446 2.10150205397e-08  22.4000815403 0.999990635639 2.03705677215 2.21628311541e-07  13.1099490622 0.999985218054 1.16347018262 5.80113825723e-07  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
64.8636750704 0.999987818593 0.189784200124 8.45002534931e-08  18.3564258516 0.999967169787 0.895299695989 6.36090748769e-07  10.7221564266 0.99994845045 0.666626635224 1.67184309655e-06  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
36.2075306262 0.999960854422 0.0643489269047 2.1283905624e-07  14.4658901362 0.999907781017 0.57098489016 2.30703564753e-06  9.24292196704 0.999855326045 0.403444077054 4.51945548198e-06  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
22.3368941372 0.999897367982 0.0525350084328 3.5699493604e-07  11.3331672985 0.99977562934 0.255399815477 4.94483563577e-06  7.42446307681 0.999643687184 0.229721564373 9.11719942557e-06  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
14.5575919173 0.99975680243 0.0215703844452 1.17020642221e-06  8.59544943644 0.999503820957 0.105380261786 1.3844097112e-05  5.92288556854 0.999180213657 0.152341878353 2.41956200567e-05  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
9.71751910959 0.999449573785 0.0168616487848 2.2332836887e-06  6.34810332503 0.998937316136 0.0919161185229 2.84292028192e-05  4.45133520919 0.9981249915 0.0578534442551 6.80182644683e-05  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
6.50220454974 0.998750647646 0.0110137726317 5.07961176704e-06  4.54616971885 0.997635686531 0.0611546380953 6.67377103387e-05  3.19150777382 0.99543911807 0.0558293946119 0.000162129829833  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
